IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,12544 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,11940 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,218 ms,9144 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,227 ms,8653 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,8371 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,7947 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,219 ms,7487 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,219 ms,6619 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,221 ms,6600 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,216 ms,6175 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,225 ms,6027 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,5942 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,213 ms,5834 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,5833 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,222 ms,5751 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,236 ms,5724 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,215 ms,5650 kB/s
8.219.201.245,8443,true,SIN,Asia Pacific,Singapore,217 ms,5625 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,5596 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,213 ms,5565 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,223 ms,5461 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,231 ms,5369 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,210 ms,5329 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,227 ms,5320 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,222 ms,5305 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,226 ms,5289 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,211 ms,5161 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,217 ms,5131 kB/s
